stage,lon,lat,val
pearson_corr_period1,76.91253382195755,43.23357560623442,-0.1455658232200757
pearson_corr_period1,76.94121402323931,43.14645080456328,-0.11238255991382974
pearson_corr_period1,76.86852740140786,43.083570964609116,-0.017464439963047137
pearson_corr_period1,76.83287160744942,43.18815441819218,-0.08556144727730498
pearson_corr_period1,76.95306061084398,43.16859460791154,0.16439153648743748
pearson_corr_period1,77.03230053477132,43.21158405282572,0.009346713897938902
pearson_corr_period2,76.8293952542269,43.11870124157166,-0.06373422698618339
pearson_corr_period2,76.97218533746839,43.17794989976821,-0.34661093057547043
pearson_corr_period2,76.9025845029108,43.120495650551305,-0.059801749733245445
pearson_corr_period2,76.8453577209268,43.14433284682003,-0.1980322652551732
pearson_corr_period2,76.90210641953374,43.16940448955381,-0.12357576512004581
pearson_corr_period2,76.96452186455129,43.0825400445238,-0.03437754540088827
pearson_corr_period2,76.98227085991661,43.19073824440136,-0.04188315396212642
pearson_corr_period2,76.96092262405836,43.176835642955176,-0.08432520422043527
pearson_corr_period2,77.05203208539677,43.18516939221273,0.019143062121331704
pearson_corr_period2,76.97323420217529,43.179706962441614,-0.16269034921700165
pearson_corr_period2,76.93187781595438,43.17514216107809,-0.22194292221653714
pearson_corr_period2,76.99011058199383,43.170627890825145,0.073109741062845
pearson_corr_period2,76.87299914367762,43.1450130712377,-0.24356755565727153
pearson_corr_period2,77.02780527648252,43.08237200535942,0.025873450439529717
pearson_corr_period2,76.86994704919078,43.13805202526291,-0.041846521888447306
pearson_corr_period2,76.91642139748829,43.17252613530077,-0.2128513938448169
pearson_corr_period2,77.0549431597096,43.1164128884075,-0.060974731807898926
pearson_corr_period2,76.89135690129699,43.198778824282584,-0.13311407081570095
pearson_corr_period2,77.0555925740805,43.199925073691155,-0.13850858076188233
pearson_corr_period2,76.927046676015,43.11235063539577,-0.01438392932609148
pearson_corr_period2,76.99221275179913,43.09234372139549,-0.06428550325552451
pearson_corr_period2,77.04313612217626,43.21992107493194,-0.017660222616634073
pearson_corr_period2,77.02797641318804,43.070331531226444,-0.0029976232224165774
pearson_corr_period2,77.06424988759784,43.19754539436053,-0.05116917105541081
pearson_corr_period2,76.8522504115547,43.240178513754344,-0.183852915792125
pearson_corr_period2,77.04718201175376,43.161752559462776,0.07436463397943117
pearson_corr_period2,77.00608058699494,43.15516098751276,-0.01214457733345307
pearson_corr_period2,76.83639403034127,43.16775133066668,0.20508095551436956
pearson_corr_period2,77.0561661530086,43.1820595860425,-0.10420433014154117
pearson_corr_period2,77.06359399434822,43.20156610440478,-0.15040345247179424
pearson_corr_period2,76.94383293274763,43.120048855054,-0.04479716293345195
pearson_corr_period2,77.01531687854876,43.15458010792394,-0.1093528261470103
pearson_corr_period2,76.85774226429713,43.12345421911479,-0.13278700666807106
pearson_corr_period2,77.03658712011558,43.19429090391753,-0.048224180519234786
pearson_corr_period2,77.0390305544386,43.16693296084296,0.06112190896665811
